
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 360 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  XPDUSD.r     |   52 trades | WR  51.9% | PF  0.98 | PnL $   -4.95 | DD   8.2% | avgR -0.00 | peak 1.2R → give 1.2R | eq $997  [costs gross=$     -1 comm=$  2.99 swap=$  -0.59]
  XPTUSD.r     |  196 trades | WR  63.8% | PF  2.96 | PnL $ 2994.61 | DD   8.6% | avgR +0.80 | peak 1.9R → give 1.1R | eq $4022  [costs gross=$  +3019 comm=$ 21.03 swap=$  -3.76]
  NAS100.r     |   52 trades | WR  50.0% | PF  0.65 | PnL $  -74.28 | DD   8.1% | avgR -0.12 | peak 1.2R → give 1.4R | eq $927  [costs gross=$    -74 comm=$  0.03 swap=$  -0.06]
  SP500.r      |  164 trades | WR  59.8% | PF  1.28 | PnL $  201.67 | DD   8.3% | avgR +0.18 | peak 1.3R → give 1.1R | eq $1206  [costs gross=$   +203 comm=$  0.38 swap=$  -1.11]
  GER40.r      |   73 trades | WR  57.5% | PF  1.00 | PnL $   -0.91 | DD   8.7% | avgR +0.01 | peak 1.4R → give 1.5R | eq $1007  [costs gross=$     -1 comm=$  0.02 swap=$  -0.05]
  JPN225ft     |   80 trades | WR  70.0% | PF  4.02 | PnL $ 1138.57 | DD   8.2% | avgR +0.98 | peak 2.1R → give 1.1R | eq $2143  [costs gross=$  +1139 comm=$  0.02 swap=$  -0.01]
  UK100.r      |   20 trades | WR  45.0% | PF  0.20 | PnL $  -86.68 | DD   8.7% | avgR -0.43 | peak 0.6R → give 1.0R | eq $920  [costs gross=$    -86 comm=$  0.37 swap=$  -0.13]
  US2000.r     |   31 trades | WR  35.5% | PF  0.74 | PnL $  -50.63 | DD   8.4% | avgR -0.19 | peak 1.0R → give 1.4R | eq $953  [costs gross=$    -44 comm=$  6.15 swap=$  -0.08]
  SPI200.r     |   33 trades | WR  51.5% | PF  0.89 | PnL $  -17.30 | DD   8.5% | avgR -0.06 | peak 1.0R → give 1.1R | eq $988  [costs gross=$    -16 comm=$  0.99 swap=$  -0.14]
  BTCUSD       |  609 trades | WR  59.6% | PF  1.83 | PnL $ 1789.75 | DD   7.8% | avgR +0.34 | peak 1.6R → give 1.4R | eq $2790  [costs gross=$  +1790 comm=$  0.03 swap=$  -0.35]
