id,ts,symbol,direction,live_reason,live_pnl,live_r,bt_reason,bt_pnl,bt_r,divergence,divergence_r,divergence_dollar_raw,category,bt_peak_r,bt_bars,cat_refined
97,2026-04-23T13:20:44.269069+00:00,SP500.r,SHORT,[sl 7107.58],0.39,0.0,SL,-2.2118220000001947,-1.000000000000088,2.601822000000195,1.000000000000088,2.601822000000195,SL_OR_TP,0.0,1,SL_AGREE
102,2026-04-23T15:15:09.458378+00:00,SP500.r,LONG,[sl 7137.28],0.47,0.0,SL,-7.953659999999399,-0.9999999999999244,8.4236599999994,0.9999999999999244,8.4236599999994,SL_OR_TP,0.0,1,SL_AGREE
107,2026-04-23T15:49:16.291756+00:00,SP500.r,LONG,GuardianDayLoss,-1.47,0.0,SL,-7.953659999999399,-0.9999999999999244,6.483659999999399,0.9999999999999244,6.483659999999399,EXTERNAL,0.0,1,EXTERNAL
113,2026-04-27T09:17:21.222965+00:00,USDCAD,SHORT,[sl 1.36638],-3.16,0.0,SL,-9.528623999999608,-0.999999999999959,6.368623999999608,0.999999999999959,6.368623999999608,SL_OR_TP,0.0,1,SL_AGREE
114,2026-04-27T09:17:21.245979+00:00,USDCAD,SHORT,[sl 1.36638],-1.84,0.0,SL,-9.528623999999608,-0.999999999999959,7.688623999999608,0.999999999999959,7.688623999999608,SL_OR_TP,0.0,1,SL_AGREE
115,2026-04-27T09:17:21.266912+00:00,USDCAD,SHORT,[sl 1.36638],-1.32,0.0,SL,-9.528623999999608,-0.999999999999959,8.208623999999608,0.999999999999959,8.208623999999608,SL_OR_TP,0.0,1,SL_AGREE
117,2026-04-27T10:17:56.469296+00:00,USDCAD,SHORT,[sl 1.36545],-5.6899999999999995,0.0,SL,0.4068817986826348,0.0427010026508166,-6.0968817986826345,-0.0427010026508166,-6.0968817986826345,SL_OR_TP,0.8283994514259562,7,SL_AGREE
118,2026-04-27T10:17:56.525370+00:00,USDCAD,SHORT,[sl 1.36545],-3.25,0.0,SL,0.4068817986826348,0.0427010026508166,-3.656881798682635,-0.0427010026508166,-3.656881798682635,SL_OR_TP,0.8283994514259562,7,SL_AGREE
119,2026-04-27T10:17:56.564501+00:00,USDCAD,SHORT,[sl 1.36545],-2.17,0.0,SL,0.4068817986826348,0.0427010026508166,-2.576881798682635,-0.0427010026508166,-2.576881798682635,SL_OR_TP,0.8283994514259562,7,SL_AGREE
120,2026-04-27T10:25:48.821196+00:00,USDCAD,SHORT,[sl 1.36496],5.6899999999999995,0.0,SL,0.4068817986826348,0.0427010026508166,5.2831182013173645,-0.0427010026508166,5.2831182013173645,SL_OR_TP,0.8283994514259562,7,SL_AGREE
121,2026-04-27T10:25:48.865711+00:00,USDCAD,SHORT,[sl 1.36496],3.25,0.0,SL,0.4068817986826348,0.0427010026508166,2.843118201317365,-0.0427010026508166,2.843118201317365,SL_OR_TP,0.8283994514259562,7,SL_AGREE
122,2026-04-27T10:26:31.244031+00:00,USDCAD,SHORT,[sl 1.36507],1.52,0.0,SL,0.4068817986826348,0.0427010026508166,1.1131182013173653,-0.0427010026508166,1.1131182013173653,SL_OR_TP,0.8283994514259562,7,SL_AGREE
123,2026-04-27T10:53:37.594056+00:00,USDCAD,SHORT,[tp 1.36396],11.39,0.0,SL,-4.602024000000014,-1.000000000000003,15.992024000000017,1.000000000000003,15.992024000000017,SL_OR_TP,0.0,1,SL_AGREE
124,2026-04-27T10:59:15.624100+00:00,USDCAD,SHORT,[tp 1.36358],9.77,0.0,SL,-4.602024000000014,-1.000000000000003,14.372024000000014,1.000000000000003,14.372024000000014,SL_OR_TP,0.0,1,SL_AGREE
125,2026-04-27T11:16:39.137925+00:00,USDCAD,SHORT,[sl 1.36286],10.8,0.0,SL,-9.443340000000072,-1.0000000000000075,20.24334000000007,1.0000000000000075,20.24334000000007,SL_OR_TP,0.5828356621702413,22,SL_AGREE
126,2026-04-27T11:20:30.890298+00:00,EURUSD,LONG,[sl 1.17390],-2.65,0.0,SL,-3.2921280000008553,-1.0000000000002598,0.6421280000008553,1.0000000000002598,0.6421280000008553,SL_OR_TP,0.0,1,SL_AGREE
127,2026-04-27T11:20:30.917225+00:00,EURUSD,LONG,[sl 1.17390],-1.59,0.0,SL,-3.2921280000008553,-1.0000000000002598,1.7021280000008554,1.0000000000002598,1.7021280000008554,SL_OR_TP,0.0,1,SL_AGREE
128,2026-04-27T11:20:30.937519+00:00,EURUSD,LONG,[sl 1.17390],-0.96,0.0,SL,-3.2921280000008553,-1.0000000000002598,2.3321280000008553,1.0000000000002598,2.3321280000008553,SL_OR_TP,0.0,1,SL_AGREE
129,2026-04-27T11:27:18.349030+00:00,USDCAD,SHORT,[sl 1.36244],4.93,0.0,SL,-9.443340000000072,-1.0000000000000075,14.373340000000072,1.0000000000000075,14.373340000000072,SL_OR_TP,0.5828356621702413,22,SL_AGREE
130,2026-04-27T11:27:18.370740+00:00,USDCAD,SHORT,[sl 1.36244],3.24,0.0,SL,-9.443340000000072,-1.0000000000000075,12.683340000000072,1.0000000000000075,12.683340000000072,SL_OR_TP,0.5828356621702413,22,SL_AGREE
131,2026-04-27T11:33:45.261352+00:00,USDCAD,SHORT,[sl 1.36244],2.0,0.0,SL,-9.443340000000072,-1.0000000000000075,11.443340000000072,1.0000000000000075,11.443340000000072,SL_OR_TP,0.5173097593225753,22,SL_AGREE
132,2026-04-27T11:55:47.297477+00:00,USDCAD,SHORT,[sl 1.36130],3.24,0.0,SL,-9.443340000000072,-1.0000000000000075,12.683340000000072,1.0000000000000075,12.683340000000072,SL_OR_TP,0.5173097593225753,22,SL_AGREE
133,2026-04-27T11:55:47.311780+00:00,USDCAD,SHORT,[sl 1.36130],2.01,0.0,SL,-9.443340000000072,-1.0000000000000075,11.453340000000072,1.0000000000000075,11.453340000000072,SL_OR_TP,0.5173097593225753,22,SL_AGREE
134,2026-04-27T11:57:14.971543+00:00,USDCAD,SHORT,[sl 1.36142],0.53,0.0,SL,-9.443340000000072,-1.0000000000000075,9.973340000000071,1.0000000000000075,9.973340000000071,SL_OR_TP,0.5173097593225753,22,SL_AGREE
135,2026-04-27T12:07:01.386303+00:00,EURJPY,LONG,[sl 186.951],0.03,0.0,SL,-2.7972599999999104,-0.9999999999999678,2.82725999999991,0.9999999999999678,2.82725999999991,SL_OR_TP,0.4787369652277783,18,SL_AGREE
136,2026-04-27T12:18:17.329009+00:00,USDCAD,SHORT,[sl 1.36141],3.04,0.0,SL,-9.443339999999864,-0.9999999999999856,12.483339999999863,0.9999999999999856,12.483339999999863,SL_OR_TP,0.5300975654263445,21,SL_AGREE
137,2026-04-27T12:18:17.380715+00:00,USDCAD,SHORT,[sl 1.36141],1.86,0.0,SL,-9.443339999999864,-0.9999999999999856,11.303339999999864,0.9999999999999856,11.303339999999864,SL_OR_TP,0.5300975654263445,21,SL_AGREE
138,2026-04-27T12:20:57.493766+00:00,EURUSD,LONG,[sl 1.17449],-2.7,0.0,SL,-3.2921279999989004,-0.999999999999666,0.5921279999989002,0.999999999999666,0.5921279999989002,SL_OR_TP,0.0,1,SL_AGREE
139,2026-04-27T12:20:57.757521+00:00,EURUSD,LONG,[sl 1.17449],-1.59,0.0,SL,-3.2921279999989004,-0.999999999999666,1.7021279999989003,0.999999999999666,1.7021279999989003,SL_OR_TP,0.0,1,SL_AGREE
140,2026-04-27T12:20:57.773654+00:00,EURUSD,LONG,[sl 1.17449],-1.08,0.0,SL,-3.2921279999989004,-0.999999999999666,2.2121279999989003,0.999999999999666,2.2121279999989003,SL_OR_TP,0.0,1,SL_AGREE
141,2026-04-27T13:14:22.021622+00:00,EURUSD,LONG,[sl 1.17398],-2.7,0.0,SL,-3.2921279999998485,-0.999999999999954,0.5921279999998483,0.999999999999954,0.5921279999998483,SL_OR_TP,0.0,1,SL_AGREE
142,2026-04-27T13:14:22.039344+00:00,EURUSD,LONG,[sl 1.17398],-1.62,0.0,SL,-3.2921279999998485,-0.999999999999954,1.6721279999998484,0.999999999999954,1.6721279999998484,SL_OR_TP,0.0,1,SL_AGREE
143,2026-04-27T13:14:22.407953+00:00,EURUSD,LONG,[sl 1.17398],-1.08,0.0,SL,-3.2921279999998485,-0.999999999999954,2.2121279999998484,0.999999999999954,2.2121279999998484,SL_OR_TP,0.0,1,SL_AGREE
144,2026-04-27T13:18:01.266903+00:00,USDCAD,SHORT,[sl 1.36123],2.11,0.0,SL,-5.349708000000108,-1.0000000000000202,7.4597080000001075,1.0000000000000202,7.4597080000001075,SL_OR_TP,0.1767033652109218,9,SL_AGREE
145,2026-04-27T13:24:37.201692+00:00,GBPJPY,LONG,[sl 215.758],0.01,0.0,SL,-2.9062799999999713,-0.99999999999999,2.916279999999971,0.99999999999999,2.916279999999971,SL_OR_TP,0.312572797719617,3,SL_AGREE
