
  [ML-GATE] Loaded 34 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  XPDUSD.r     |   34 trades | WR  38.2% | PF  0.30 | PnL $  -84.22 | DD   8.4% | avgR -0.33 | peak 0.6R → give 0.8R | eq $920  [costs gross=$    -83 comm=$  0.72 swap=$  -0.07]
  XPTUSD.r     |  123 trades | WR  54.5% | PF  1.88 | PnL $  282.12 | DD   8.2% | avgR +0.23 | peak 1.1R → give 0.8R | eq $1285  [costs gross=$   +285 comm=$  2.76 swap=$  -0.50]
  NAS100.r     |   33 trades | WR  69.7% | PF  7.55 | PnL $  462.73 | DD   3.3% | avgR +1.19 | peak 2.0R → give 0.8R | eq $1463  [costs gross=$   +463 comm=$  0.02 swap=$  -0.06]
  SP500.r      |  262 trades | WR  66.0% | PF  3.21 | PnL $ 1655.17 | DD   7.6% | avgR +0.47 | peak 1.3R → give 0.7R | eq $2655  [costs gross=$  +1657 comm=$  0.53 swap=$  -1.42]
  GER40.r      |  300 trades | WR  71.7% | PF  3.65 | PnL $ 3362.71 | DD   6.2% | avgR +0.73 | peak 1.8R → give 1.1R | eq $4363  [costs gross=$  +3363 comm=$  0.15 swap=$  -0.42]
  JPN225ft     |  194 trades | WR  54.1% | PF  1.52 | PnL $  322.00 | DD   6.9% | avgR +0.14 | peak 0.8R → give 0.5R | eq $1322  [costs gross=$   +322 comm=$  0.02 swap=$  -0.01]
  UK100.r      |   33 trades | WR  57.6% | PF  1.69 | PnL $   80.07 | DD   8.1% | avgR +0.24 | peak 1.1R → give 0.8R | eq $1082  [costs gross=$    +81 comm=$  0.64 swap=$  -0.08]
  US2000.r     |  478 trades | WR  50.8% | PF  2.64 | PnL $12238.78 | DD   8.3% | avgR +0.80 | peak 1.6R → give 0.7R | eq $13278  [costs gross=$ +12497 comm=$252.29 swap=$  -5.53]
  SPI200.r     |  305 trades | WR  58.7% | PF  1.87 | PnL $  763.46 | DD   6.2% | avgR +0.27 | peak 1.1R → give 0.8R | eq $1763  [costs gross=$   +771 comm=$  6.53 swap=$  -0.76]
  BTCUSD       |  475 trades | WR  64.0% | PF  2.66 | PnL $ 2223.79 | DD   6.1% | avgR +0.64 | peak 1.7R → give 1.1R | eq $3224  [costs gross=$  +2224 comm=$  0.02 swap=$  -0.20]
  ETHUSD       |  172 trades | WR  70.3% | PF  4.46 | PnL $  529.24 | DD   2.1% | avgR +0.61 | peak 1.6R → give 1.0R | eq $1529  [costs gross=$   +530 comm=$  0.05 swap=$  -0.84]
  BCHUSD       |  154 trades | WR  67.5% | PF  2.67 | PnL $  382.94 | DD   6.1% | avgR +0.35 | peak 1.4R → give 1.0R | eq $1383  [costs gross=$   +390 comm=$  5.20 swap=$  -1.56]
  UKOUSD       |  138 trades | WR  75.4% | PF 12.14 | PnL $ 1867.71 | DD   1.5% | avgR +0.82 | peak 1.6R → give 0.7R | eq $2868  [costs gross=$  +1875 comm=$  5.03 swap=$  -2.69]
  COPPER-Cr    |  352 trades | WR  70.2% | PF  2.68 | PnL $ 1579.92 | DD   4.0% | avgR +0.43 | peak 1.3R → give 0.8R | eq $2580  [costs gross=$  +1642 comm=$ 52.83 swap=$  -8.79]
