
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  XPDUSD.r     |  171 trades | WR  64.9% | PF  1.57 | PnL $  314.48 | DD   8.9% | avgR +0.23 | peak 1.3R → give 1.1R | eq $1328  [costs gross=$   +318 comm=$  3.30 swap=$  -0.71]
  XPTUSD.r     |  342 trades | WR  69.3% | PF  2.38 | PnL $ 2638.27 | DD   6.5% | avgR +0.53 | peak 1.6R → give 1.1R | eq $3638  [costs gross=$  +2654 comm=$ 12.81 swap=$  -2.52]
  NAS100.r     |   35 trades | WR  48.6% | PF  0.34 | PnL $  -81.42 | DD   8.1% | avgR -0.34 | peak 1.0R → give 1.4R | eq $920  [costs gross=$    -81 comm=$  0.01 swap=$  -0.08]
  SP500.r      |   31 trades | WR  48.4% | PF  0.46 | PnL $  -82.02 | DD   8.4% | avgR -0.29 | peak 0.9R → give 1.3R | eq $922  [costs gross=$    -81 comm=$  0.07 swap=$  -0.46]
  GER40.r      |   85 trades | WR  69.4% | PF  2.08 | PnL $  331.41 | DD   8.4% | avgR +0.42 | peak 1.7R → give 1.4R | eq $1337  [costs gross=$   +332 comm=$  0.04 swap=$  -0.24]
  JPN225ft     |  161 trades | WR  60.2% | PF  2.03 | PnL $  818.59 | DD   7.8% | avgR +0.45 | peak 1.5R → give 1.1R | eq $1819  [costs gross=$   +819 comm=$  0.02 swap=$  -0.01]
  UK100.r      |   11 trades | WR   9.1% | PF  0.02 | PnL $  -79.70 | DD   8.1% | avgR -0.97 | peak 0.3R → give 1.4R | eq $921  [costs gross=$    -79 comm=$  0.20 swap=$  -0.04]
  US2000.r     |  106 trades | WR  57.5% | PF  2.58 | PnL $ 1653.79 | DD   8.0% | avgR +1.00 | peak 2.1R → give 1.2R | eq $2655  [costs gross=$  +1690 comm=$ 34.01 swap=$  -2.50]
  SPI200.r     |   24 trades | WR  50.0% | PF  1.17 | PnL $   21.48 | DD   8.2% | avgR +0.07 | peak 1.2R → give 1.2R | eq $1024  [costs gross=$    +22 comm=$  0.62 swap=$  -0.11]
  BTCUSD       |  248 trades | WR  60.1% | PF  1.97 | PnL $  710.61 | DD   6.6% | avgR +0.44 | peak 1.8R → give 1.4R | eq $1711  [costs gross=$   +711 comm=$  0.01 swap=$  -0.12]
  ETHUSD       |  222 trades | WR  82.0% | PF  6.58 | PnL $ 1389.99 | DD   4.0% | avgR +0.92 | peak 2.0R → give 1.1R | eq $2390  [costs gross=$  +1392 comm=$  0.06 swap=$  -1.75]
  BCHUSD       |   19 trades | WR  26.3% | PF  0.13 | PnL $  -84.88 | DD   8.5% | avgR -0.72 | peak 0.8R → give 1.7R | eq $920  [costs gross=$    -84 comm=$  0.35 swap=$  -0.14]
  UKOUSD       |  194 trades | WR  80.9% | PF  8.83 | PnL $ 7362.04 | DD   6.2% | avgR +1.28 | peak 2.4R → give 1.1R | eq $8362  [costs gross=$  +7382 comm=$ 12.20 swap=$  -8.07]
  COPPER-Cr    |   28 trades | WR  50.0% | PF  0.41 | PnL $  -72.42 | DD   8.3% | avgR -0.28 | peak 0.9R → give 1.2R | eq $931  [costs gross=$    -68 comm=$  4.31 swap=$  -0.39]
  GBPCAD       |   12 trades | WR  25.0% | PF  0.08 | PnL $  -84.84 | DD   8.5% | avgR -0.74 | peak 0.7R → give 1.6R | eq $920  [costs gross=$    -83 comm=$  1.92 swap=$  -0.24]
  GBPNZD       |    8 trades | WR   0.0% | PF  0.00 | PnL $  -83.72 | DD   8.4% | avgR -1.61 | peak 0.2R → give 1.9R | eq $920  [costs gross=$    -83 comm=$  0.71 swap=$  -0.01]
