
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  XPDUSD.r     |   27 trades | WR  37.0% | PF  0.24 | PnL $  -82.12 | DD   8.2% | avgR -0.40 | peak 0.6R → give 1.0R | eq $920  [costs gross=$    -81 comm=$  0.60 swap=$  -0.06]
  XPTUSD.r     |  362 trades | WR  63.3% | PF  2.19 | PnL $ 1949.12 | DD   6.9% | avgR +0.38 | peak 1.4R → give 1.0R | eq $2949  [costs gross=$  +1963 comm=$ 11.56 swap=$  -2.02]
  NAS100.r     |   34 trades | WR  70.6% | PF  4.58 | PnL $  390.55 | DD   4.7% | avgR +0.98 | peak 2.0R → give 1.0R | eq $1391  [costs gross=$   +391 comm=$  0.02 swap=$  -0.09]
  SP500.r      |   49 trades | WR  46.9% | PF  0.71 | PnL $  -61.71 | DD   8.1% | avgR -0.08 | peak 1.0R → give 1.1R | eq $939  [costs gross=$    -61 comm=$  0.08 swap=$  -0.58]
  GER40.r      |  302 trades | WR  72.5% | PF  3.20 | PnL $ 2955.22 | DD   7.2% | avgR +0.71 | peak 2.0R → give 1.3R | eq $3955  [costs gross=$  +2956 comm=$  0.15 swap=$  -0.56]
  JPN225ft     |   26 trades | WR  34.6% | PF  0.30 | PnL $  -84.97 | DD   8.5% | avgR -0.40 | peak 0.5R → give 0.8R | eq $920  [costs gross=$    -85 comm=$  0.00 swap=$  -0.00]
  UK100.r      |   33 trades | WR  48.5% | PF  1.49 | PnL $   67.35 | DD   9.0% | avgR +0.26 | peak 1.4R → give 1.2R | eq $1079  [costs gross=$    +68 comm=$  0.68 swap=$  -0.16]
  US2000.r     |  108 trades | WR  51.9% | PF  2.48 | PnL $  734.50 | DD   8.5% | avgR +0.61 | peak 1.6R → give 0.9R | eq $1743  [costs gross=$   +756 comm=$ 21.31 swap=$  -0.58]
  SPI200.r     |   34 trades | WR  44.1% | PF  1.30 | PnL $   48.99 | DD   8.4% | avgR +0.20 | peak 1.3R → give 1.1R | eq $1053  [costs gross=$    +50 comm=$  0.92 swap=$  -0.14]
  BTCUSD       |  487 trades | WR  67.4% | PF  2.62 | PnL $ 2276.15 | DD   7.4% | avgR +0.65 | peak 1.9R → give 1.3R | eq $3276  [costs gross=$  +2276 comm=$  0.02 swap=$  -0.25]
  ETHUSD       |  241 trades | WR  82.6% | PF  8.28 | PnL $ 1652.73 | DD   2.6% | avgR +0.95 | peak 2.0R → give 1.1R | eq $2653  [costs gross=$  +1655 comm=$  0.08 swap=$  -1.98]
  BCHUSD       |   39 trades | WR  41.0% | PF  0.34 | PnL $  -70.59 | DD   8.1% | avgR -0.29 | peak 0.9R → give 1.2R | eq $931  [costs gross=$    -70 comm=$  0.70 swap=$  -0.30]
  UKOUSD       |  142 trades | WR  68.3% | PF  6.20 | PnL $ 1477.92 | DD   4.0% | avgR +0.65 | peak 1.7R → give 1.0R | eq $2478  [costs gross=$  +1486 comm=$  5.34 swap=$  -3.24]
  COPPER-Cr    |   48 trades | WR  58.3% | PF  1.50 | PnL $   70.15 | DD   8.7% | avgR +0.34 | peak 1.4R → give 1.0R | eq $1078  [costs gross=$    +78 comm=$  6.55 swap=$  -0.83]
  GBPCAD       |   13 trades | WR  15.4% | PF  0.10 | PnL $  -83.90 | DD   8.4% | avgR -0.77 | peak 0.4R → give 1.2R | eq $920  [costs gross=$    -81 comm=$  2.11 swap=$  -0.39]
  GBPNZD       |    8 trades | WR   0.0% | PF  0.00 | PnL $  -82.92 | DD   8.3% | avgR -1.60 | peak 0.2R → give 1.9R | eq $920  [costs gross=$    -82 comm=$  0.70 swap=$  -0.01]
  AUDCAD       |   14 trades | WR  14.3% | PF  0.02 | PnL $  -83.44 | DD   8.3% | avgR -0.78 | peak 0.3R → give 0.8R | eq $920  [costs gross=$    -79 comm=$  3.95 swap=$  -0.19]
  AUDCHF       |   22 trades | WR  18.2% | PF  0.27 | PnL $  -77.78 | DD   9.2% | avgR -0.33 | peak 0.9R → give 1.2R | eq $934  [costs gross=$    -69 comm=$  8.21 swap=$  -0.89]
  AUDNZD       |    5 trades | WR   0.0% | PF  0.00 | PnL $  -89.99 | DD   9.0% | avgR -2.23 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -88 comm=$  1.57 swap=$  +0.00]
  NZDCAD       |    6 trades | WR   0.0% | PF  0.00 | PnL $  -89.41 | DD   8.9% | avgR -2.08 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -87 comm=$  2.18 swap=$  +0.00]
  NZDCHF       |    7 trades | WR   0.0% | PF  0.00 | PnL $  -90.61 | DD   9.1% | avgR -2.06 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -88 comm=$  3.09 swap=$  +0.00]
  CADCHF       |   21 trades | WR  33.3% | PF  1.30 | PnL $   42.85 | DD   8.2% | avgR +0.43 | peak 1.8R → give 1.2R | eq $1045  [costs gross=$    +58 comm=$ 12.41 swap=$  -2.96]
  FRA40.r      |   25 trades | WR  52.0% | PF  2.67 | PnL $  195.12 | DD   8.5% | avgR +0.69 | peak 1.9R → give 1.2R | eq $1202  [costs gross=$   +196 comm=$  0.46 swap=$  -0.11]
